Name,FID Score
fixed_1024_11111_2024_05_21_16_01_49,8.12
fixed_1024_22222_2024_05_27_15_24_25,7.23
fixed_1024_33333_2024_05_22_21_16_21,7.33
fixed_1024_44444_2024_05_23_04_22_35,6.56
fixed_1024_55555_2024_05_23_07_00_45,5.98
fixed_128_11111_2024_05_21_16_01_48,7.88
fixed_128_22222_2024_05_21_16_01_49,10.28
fixed_128_33333_2024_05_22_19_30_13,6.88
fixed_128_44444_2024_05_23_03_16_46,7.75
fixed_128_55555_2024_05_23_05_52_50,8.06
fixed_16_11111_2024_05_21_15_01_28,6.38
fixed_16_22222_2024_05_21_16_01_50,6.14
fixed_16_33333_2024_05_22_15_46_38,6.63
fixed_16_44444_2024_05_23_01_09_10,8.0
fixed_16_55555_2024_05_23_05_29_31,8.61
fixed_1_11111_2024_05_21_13_44_46,30.52
fixed_1_22222_2024_05_21_16_01_49,7.43
fixed_1_33333_2024_05_22_00_52_17,7.61
fixed_1_44444_2024_05_22_23_41_56,7.52
fixed_1_55555_2024_05_23_05_22_35,24.76
fixed_256_11111_2024_05_21_16_01_48,6.55
fixed_256_22222_2024_05_21_16_01_49,6.58
fixed_256_33333_2024_05_22_19_31_18,7.83
fixed_256_44444_2024_05_23_03_33_02,8.95
fixed_256_55555_2024_05_23_06_43_55,10.0
fixed_2_11111_2024_05_21_13_44_46,28.98
fixed_2_22222_2024_05_21_16_01_49,6.96
fixed_2_33333_2024_05_22_06_22_44,31.3
fixed_2_44444_2024_05_22_23_52_17,7.18
fixed_2_55555_2024_05_23_05_22_45,13.38
fixed_32_11111_2024_05_21_16_01_49,9.62
fixed_32_22222_2024_05_21_16_01_50,7.55
fixed_32_33333_2024_05_22_17_22_22,7.12
fixed_32_44444_2024_05_23_01_31_19,6.87
fixed_32_55555_2024_05_23_05_47_03,6.86
fixed_4_11111_2024_05_21_14_01_09,6.74
fixed_4_22222_2024_05_21_16_01_49,8.03
fixed_4_33333_2024_05_22_06_47_37,7.71
fixed_4_44444_2024_05_23_00_14_56,6.7
fixed_4_55555_2024_05_23_05_22_52,8.01
fixed_512_11111_2024_05_21_16_01_37,8.07
fixed_512_22222_2024_05_21_16_01_48,6.38
fixed_512_33333_2024_05_22_21_16_02,9.23
fixed_512_44444_2024_05_23_03_42_03,7.25
fixed_512_55555_2024_05_23_06_46_35,6.6
fixed_64_11111_2024_05_21_16_01_49,7.12
fixed_64_22222_2024_05_21_16_01_50,6.64
fixed_64_33333_2024_05_22_17_22_22,8.6
fixed_64_44444_2024_05_23_02_11_07,7.09
fixed_64_55555_2024_05_23_05_52_50,9.6
fixed_8_11111_2024_05_21_14_13_48,7.33
fixed_8_22222_2024_05_21_16_01_49,7.36
fixed_8_33333_2024_05_22_15_23_28,6.47
fixed_8_44444_2024_05_23_00_29_52,8.11
fixed_8_55555_2024_05_23_05_29_31,8.9
linear_4_1024_11111_2024_05_25_23_09_22,6.64
linear_4_1024_22222_2024_05_25_23_16_20,7.84
linear_4_1024_33333_2024_05_26_05_05_12,8.06
linear_4_1024_44444_2024_05_26_17_39_35,6.43
linear_4_1024_55555_2024_05_26_21_20_23,5.97
linear_4_11111_2024_05_21_16_01_50,6.08
linear_4_128_11111_2024_05_25_23_05_48,6.94
linear_4_128_22222_2024_05_25_23_13_07,7.72
linear_4_128_33333_2024_05_26_05_01_18,6.6
linear_4_128_44444_2024_05_26_11_46_58,6.2
linear_4_128_55555_2024_05_26_19_42_46,6.31
linear_4_16_11111_2024_05_25_21_32_45,6.11
linear_4_16_22222_2024_05_25_23_10_50,6.42
linear_4_16_33333_2024_05_25_23_19_21,6.87
linear_4_16_44444_2024_05_26_05_05_12,6.05
linear_4_16_55555_2024_05_26_18_12_14,5.84
linear_4_22222_2024_05_22_00_28_43,7.04
linear_4_256_11111_2024_05_25_23_08_49,5.99
linear_4_256_22222_2024_05_25_23_13_50,6.15
linear_4_256_33333_2024_05_26_05_04_43,7.13
linear_4_256_44444_2024_05_26_14_03_13,7.67
linear_4_256_55555_2024_05_26_19_58_44,7.43
linear_4_32_11111_2024_05_25_21_34_44,6.21
linear_4_32_22222_2024_05_25_23_11_37,5.66
linear_4_32_33333_2024_05_26_03_59_14,7.19
linear_4_32_44444_2024_05_26_05_05_12,7.07
linear_4_32_55555_2024_05_26_18_33_04,7.9
linear_4_33333_2024_05_22_23_22_13,6.23
linear_4_512_11111_2024_05_25_23_09_22,6.24
linear_4_512_22222_2024_05_25_23_15_20,7.07
linear_4_512_33333_2024_05_26_05_05_12,6.29
linear_4_512_44444_2024_05_26_14_03_41,6.65
linear_4_512_55555_2024_05_26_21_20_23,6.45
linear_4_55555_2024_05_23_07_34_16,7.55
linear_4_64_11111_2024_05_25_23_05_22,6.37
linear_4_64_22222_2024_05_25_23_12_50,6.98
linear_4_64_33333_2024_05_26_03_59_14,7.86
linear_4_64_44444_2024_05_26_11_46_58,6.7
linear_4_64_55555_2024_05_26_18_44_06,7.77
linear_4_8_11111_2024_05_25_19_43_18,6.24
linear_4_8_22222_2024_05_25_23_10_12,6.28
linear_4_8_33333_2024_05_25_23_16_46,8.24
linear_4_8_44444_2024_05_26_05_05_12,7.58
linear_4_8_55555_2024_05_26_17_39_35,6.14
saturate_4_1.41_22222_2024_05_27_15_24_25,6.27
saturate_4_11111_1.41_2024_05_21_16_01_49,7.0
saturate_4_11111_2_2024_05_21_16_01_50,6.51
saturate_4_11111_4_2024_05_21_16_01_50,7.36
saturate_4_22222_2_2024_05_21_16_02_29,6.82
saturate_4_22222_4_2024_05_21_16_02_29,6.08
saturate_4_33333_1.41_2024_05_22_21_33_46,6.2
saturate_4_33333_2_2024_05_22_21_38_58,6.41
saturate_4_33333_4_2024_05_22_22_46_16,5.75
saturate_4_44444_1.41_2024_05_23_04_30_45,6.64
saturate_4_44444_2_2024_05_23_04_42_09,5.65
saturate_4_44444_4_2024_05_23_05_22_35,5.67
saturate_4_55555_1.41_2024_05_23_07_26_15,6.87
saturate_4_55555_2_2024_05_23_07_27_15,5.8
saturate_4_55555_4_2024_05_23_07_33_16,6.62
