Name,FID Score
fixed_1024_1024_11111_2024_05_28_18_06_37,14.04
fixed_1024_1024_22222_2024_05_29_05_50_03,13.33
fixed_1024_1024_33333_2024_05_30_17_23_06,13.35
fixed_1024_1024_44444_2024_05_31_01_38_00,16.48
fixed_1024_1024_55555_2024_05_31_05_04_50,16.56
fixed_16_16_11111_2024_05_28_15_59_54,16.42
fixed_16_16_22222_2024_05_29_04_08_36,15.08
fixed_16_16_33333_2024_05_30_09_58_28,14.8
fixed_16_16_44444_2024_05_31_00_00_49,13.24
fixed_16_16_55555_2024_05_31_04_34_05,13.15
fixed_1_1_11111_2024_05_28_14_44_38,52.32
fixed_1_1_22222_2024_05_29_02_14_27,15.76
fixed_1_1_33333_2024_05_30_06_24_37,19.74
fixed_1_1_44444_2024_05_30_23_09_00,21.67
fixed_1_1_55555_2024_05_31_04_26_58,15.92
fixed_256_256_11111_2024_05_28_17_34_23,16.52
fixed_256_256_22222_2024_05_29_05_45_52,14.95
fixed_256_256_33333_2024_05_30_15_57_01,17.09
fixed_256_256_44444_2024_05_31_00_58_03,16.54
fixed_256_256_55555_2024_05_31_05_04_49,13.58
fixed_4_4_11111_2024_05_28_14_45_32,16.46
fixed_4_4_22222_2024_05_29_02_15_31,16.23
fixed_4_4_33333_2024_05_30_09_56_04,13.27
fixed_4_4_44444_2024_05_31_00_00_49,14.29
fixed_4_4_55555_2024_05_31_04_29_03,13.21
fixed_64_64_11111_2024_05_28_17_14_01,13.12
fixed_64_64_22222_2024_05_29_04_12_03,16.2
fixed_64_64_33333_2024_05_30_15_57_01,15.54
fixed_64_64_44444_2024_05_31_00_53_55,13.35
fixed_64_64_55555_2024_05_31_04_37_31,16.66
linear_4_1024_11111_2024_05_29_01_48_47,15.88
linear_4_1024_22222_2024_05_30_06_11_08,16.41
linear_4_1024_33333_2024_05_30_23_03_25,16.06
linear_4_1024_44444_2024_05_31_04_24_54,13.78
linear_4_1024_55555_2024_05_31_07_43_58,16.46
linear_4_16_11111_2024_05_28_23_52_26,12.39
linear_4_16_22222_2024_05_29_14_46_21,14.26
linear_4_16_33333_2024_05_30_20_06_55,15.8
linear_4_16_44444_2024_05_31_03_15_22,12.83
linear_4_16_55555_2024_05_31_07_43_58,14.3
linear_4_256_11111_2024_05_29_01_46_05,16.25
linear_4_256_22222_2024_05_29_20_48_28,16.36
linear_4_256_33333_2024_05_30_21_37_58,18.05
linear_4_256_44444_2024_05_31_04_03_30,12.56
linear_4_256_55555_2024_05_31_07_43_57,16.31
linear_4_64_11111_2024_05_29_00_48_48,13.11
linear_4_64_22222_2024_05_29_18_02_55,13.16
linear_4_64_33333_2024_05_30_21_19_06,17.13
linear_4_64_44444_2024_05_31_03_41_07,14.8
linear_4_64_55555_2024_05_31_07_43_58,16.13
linear_4_8_11111_2024_05_28_22_26_21,12.98
linear_4_8_22222_2024_05_29_13_38_12,17.6
linear_4_8_33333_2024_05_30_19_49_51,14.63
linear_4_8_44444_2024_05_31_03_14_24,16.26
linear_4_8_55555_2024_05_31_06_48_21,15.92
saturate_4_1.41_22222_2024_05_29_06_20_40,14.98
saturate_4_1.41_33333_2024_05_30_17_27_50,16.85
saturate_4_1.41_44444_2024_05_31_01_54_59,15.4
saturate_4_1.41_55555_2024_05_31_05_12_52,15.53
saturate_4_2_11111_2024_05_28_20_32_46,13.92
saturate_4_2_22222_2024_05_29_06_37_42,17.03
saturate_4_2_33333_2024_05_30_18_50_04,12.78
saturate_4_2_44444_2024_05_31_02_31_46,13.19
saturate_4_2_55555_2024_05_31_05_51_56,13.42
saturate_4_4_11111_2024_05_28_22_17_48,13.8
saturate_4_4_22222_2024_05_29_08_47_48,16.08
saturate_4_4_33333_2024_05_30_18_52_10,12.45
saturate_4_4_44444_2024_05_31_02_31_46,13.53
saturate_4_4_55555_2024_05_31_05_59_44,16.89
saturate-linear_4_16_11111_2024_06_06_19_08_32,62.35
saturate-linear_4_16_22222_2024_06_06_19_54_30,13.75
saturate-linear_4_16_33333_2024_06_06_20_03_56,14.46
saturate-linear_4_16_44444_2024_06_06_20_32_03,15.98
saturate-linear_4_16_55555_2024_06_06_21_08_38,16.11
saturate-linear_4_1_11111_2024_06_06_12_35_22,16.28
saturate-linear_4_1_22222_2024_06_06_19_52_17,14.73
saturate-linear_4_1_33333_2024_06_06_19_59_02,13.29
saturate-linear_4_1_44444_2024_06_06_20_04_48,14.11
saturate-linear_4_1_55555_2024_06_06_20_34_11,14.84
saturate-linear_4_2_11111_2024_06_06_16_35_00,15.62
saturate-linear_4_2_22222_2024_06_06_19_52_17,15.27
saturate-linear_4_2_33333_2024_06_06_20_01_36,15.83
saturate-linear_4_2_44444_2024_06_06_20_04_48,13.72
saturate-linear_4_2_55555_2024_06_06_20_40_21,17.42
saturate-linear_4_4_22222_2024_06_06_19_53_50,16.98
saturate-linear_4_4_44444_2024_06_06_20_05_39,14.59
saturate-linear_4_4_55555_2024_06_06_20_39_51,17.52
saturate-linear_4_8_11111_2024_06_06_19_08_24,16.01
saturate-linear_4_8_22222_2024_06_06_19_54_31,16.82
saturate-linear_4_8_44444_2024_06_06_20_26_27,17.08
saturate-linear_4_8_55555_2024_06_06_20_45_37,16.21
