Name,FID Score,IS Score,FID mean,FID sd,IS mean,IS sd
pmishact_large_stl10_11111_2024_04_22_04_35_07,11.61966213,11.79723167,13.24338914,1.217308589,11.62600199,0.182713122
pmishact_large_stl10_12345_2024_04_22_04_35_09,15.25387842,11.46162605,,,,
pmishact_large_stl10_22222_2024_04_22_07_10_01,13.71152467,11.46730328,,,,
pmishact_large_stl10_33333_2024_04_22_08_29_34,12.86721701,11.90280342,,,,
pmishact_large_stl10_44444_2024_04_22_09_09_54,12.64667563,11.58554649,,,,
pmishact_large_stl10_55555_2024_04_22_09_56_30,13.36137696,11.54150105,,,,
pmishact_small_stl10_11111_2024_04_22_19_17_52,13.29149798,11.58984089,13.02942054,0.369286339,11.55053749,0.087846693
pmishact_small_stl10_12345_2024_04_22_10_24_53,13.4642217,11.4138689,,,,
pmishact_small_stl10_22222_2024_04_22_19_19_44,12.65986444,11.64325333,,,,
pmishact_small_stl10_33333_2024_04_22_19_19_32,13.08667924,11.52093983,,,,
pmishact_small_stl10_44444_2024_04_22_19_19_32,,,,,,
pmishact_small_stl10_55555_2024_04_22_19_19_32,12.64483934,11.58478451,,,,
